name,price,Kategori
JAMUR KUPING PACK 100 GR,7380,Sayuran
Buncis & Wortel Potong (Stick) - Sayur Kendal,15000,Sayuran
Jamur Tiram Pack 100 Gr,9550,Sayuran
KOL PUTIH 1200-1300 GR - SAYUR,22690,Sayuran
TOMAT TW 500-600 GR - SAYUR,18480,Sayuran
SELADA FRESH | SELADA SUPER (KHUSUS SAMEDAY DAN INSTAN),45000,Sayuran
KABOCHA LABU KUNING 1 KG,55500,Sayuran
Cabe Hijau TW 240 Gr,14880,Sayuran
BERNARDI YONG TOFU INSTAN 300 GR,51500,Sayuran
WHITE OYSTER MUSHROOM PACK 100 GR,18080,Sayuran
Mini Cucumber (Timun Kecil) 250 gram Amazing Farm,22000,Sayuran
KOL PUTIH 1200-1300 GR - SAYUR,28800,Sayuran
Kongke Tofu Telur Special 140 Gr,11330,Sayuran
Kongke Tofu Telur Special 140 Gr,11760,Sayuran
SAKAKE TOFU PUTIH 230 GRAM,12350,Sayuran
KONGKE TOFU TELUR SPECIAL 140 GR,10900,Sayuran
IMI TAHU KUNING 10 PCS,23990,Sayuran
Cabe Rawit Hijau 100 Gr,15010,Sayuran
Jamur Shitake Impor Impor 200 gram Sayurbox,36400,Sayuran
SAKAKE TOFU UDANG 230 GR - TAHU,20300,Sayuran
Labu Siam Acar Pack 300 Gr,12300,Sayuran
Jamur Perancis Sliced Pack 250 Gr,19600,Sayuran
CABE MERAH TW 250-270 GR - CABAI,25840,Sayuran
KOL PUTIH SEGAR 1200-1300 GRAM,27690,Sayuran
JAMUR TIRAM PACK 100 GR,9900,Sayuran
LABU SIAM ACAR 300 GR,12500,Sayuran
HOKTO MUSHROOM WHITE PACK JAPAN,20050,Sayuran
KEMBANG KOL 500-600 GR - SAYUR,28740,Sayuran
SAKAKE TOFU PUTIH 230 GRAM,12350,Sayuran
KONGKE TOFU TELUR AYAM 140 GR - TAHU,9500,Sayuran
KEMBANG KOL SEGAR 500-600 GR,27600,Sayuran
CABE HIJAU KERITING 250-270 GR,20830,Sayuran
CABE HIJAU TW 250 GR - CABAI,16170,Sayuran
Jamur Perancis Whole Pack,19990,Sayuran
